;Name;Set;Type;Class;Rarity;Cost;Attack;Health;Abilities;Artist;Text;Quote;Img_link;Subtype
2777;Spectral Knight;Naxxramas;Minion;Neutral;Common;5;4;6;['Elusive'];Chris Rahn;Can't be targeted by spells or Hero Powers.;What do Faerie Dragons and Spectral Knights have in common?  They both love pasta!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/3a/Spectral_Knight%287751%29.png/revision/latest/scale-to-width-down/200?cb=20160324162742;
2778;Spectral Pillager;Knights of the Frozen Throne;Minion;Rogue;Epic;6;5;5;['Combo', 'Deal damage'];Sam Nielson;Combo: Deal damage equal to the number of other cards you've played this turn.;It turns out you CAN take it with you.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/b1/Spectral_Pillager%2862945%29.png/revision/latest/scale-to-width-down/200?cb=20170809034826;
2779;Spectral Senior;Scholomance Academy;Minion;Neutral;;6;5;7;['Taunt'];Jakub Kasper;Taunt;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/25/Spectral_Senior%28330119%29.png/revision/latest/scale-to-width-down/200?cb=20200911161200;
2780;Spectral Sight;Ashes of Outland;Spell;Demon Hunter;Common;2;;;['Draw cards', 'Outcast'];Jakub Kasper;Draw a card.Outcast: Draw another.;"""Pick a card, any card! Preferably the left- or right-most card.""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/83/Spectral_Sight%28210660%29.png/revision/latest/scale-to-width-down/200?cb=20201007134912;
2781;Spectral Spider;Naxxramas;Minion;Neutral;;1;1;1;[];Unknown artist;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/b4/Spectral_Spider%287760%29.png/revision/latest/scale-to-width-down/200?cb=20160324162529;
2782;Spellbender;Classic;Spell;Mage;Epic;3;;;['Secret', 'Summon'];Gonzalo Ordonez;Secret: When an enemy casts a spell on a minion, summon a 1/3 as the new target.;While it's fun to intercept enemy lightning bolts, a spellbender much prefers to intercept opposing Marks of the Wild.  It just feels meaner.  And blood elves... well, they're a little mean.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/f6/Spellbender%28309%29.png/revision/latest/scale-to-width-down/200?cb=20160323225928;
2783;Spellbender (minion);Classic;Minion;Mage;;1;1;3;[];Gonzalo Ordonez;;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/3e/Spellbender%28645%29.png/revision/latest/scale-to-width-down/200?cb=20200331133937;
2784;Spellbook Binder;Rise of Shadows;Minion;Neutral;Common;2;3;2;['Battlecry', 'Draw cards'];Ivan Fomin;Battlecry: If you have Spell Damage, draw a card.;You're bound to love his work!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/7/72/Spellbook_Binder%2890662%29.png/revision/latest/scale-to-width-down/200?cb=20191105162223;
2785;Spellbreaker;Hall of Fame;Minion;Neutral;Common;4;4;3;['Battlecry', 'Silence'];Matt Cavotta;Battlecry: Silence a minion.;Spellbreakers can rip enchantments from magic-wielders.  The process is painless and can be performed on an outpatient basis.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/86/Spellbreaker%2842%29.png/revision/latest/scale-to-width-down/200?cb=20200327142910;
2786;Spellshifter;The Witchwood;Minion;Neutral;Common;2;1;4;['Spell Damage', 'Transform in hand'];Arthur Gimaldinov;Spell Damage +1Each turn this is in your hand, swap its Attack and Health.;"He also goes by ""worg-lock.""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/ce/Spellshifter%2889401%29.png/revision/latest/scale-to-width-down/200?cb=20180412025023;
2787;Spellshifter (4/1);The Witchwood;Minion;Neutral;Common;2;4;1;['Spell Damage', 'Transform in hand'];Arthur Gimaldinov;Spell Damage +1Each turn this is in your hand, swap its Attack and Health.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/99/Spellshifter%2889489%29.png/revision/latest/scale-to-width-down/200?cb=20180412144846;
2788;Spellslinger;The Grand Tournament;Minion;Mage;Common;3;3;4;['Battlecry', 'Generate'];Andrew Hou;Battlecry: Add a random spell to each player's hand.;Does he sling spells, or do his spells linger about.  Who can say?;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/64/Spellslinger%2822299%29.png/revision/latest/scale-to-width-down/200?cb=20160324183321;
2789;Spellward Jeweler;Rise of Shadows;Minion;Neutral;Rare;3;3;4;['Battlecry'];Adam Byrne;Battlecry: Your hero can't be targeted by spells or Hero Powers until your next turn.;The fanciest possible way of distracting enemies with shiny things.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/98/Spellward_Jeweler%2890550%29.png/revision/latest/scale-to-width-down/200?cb=20191105163554;
2790;Spellweaver;Knights of the Frozen Throne;Minion;Neutral;Common;6;4;4;['Spell Damage'];Jaemin Kim;Spell Damage +2;Spells offer twice the moisture wicking of cotton.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c7/Spellweaver%2862938%29.png/revision/latest/scale-to-width-down/200?cb=20170809001641;
2791;Spellzerker;Rastakhan's Rumble;Minion;Neutral;Common;2;2;3;['Enrage'];Arthur Bozonnet;Has Spell Damage +2 while damaged.;But don’t ask her to use it in a sentence.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/0c/Spellzerker%2890292%29.png/revision/latest/scale-to-width-down/200?cb=20181130142648;
2792;Sphere of Sapience;Scholomance Academy;Weapon;Neutral;Legendary;1;0;;[];Jakub Kasper;At the start of your turn, look at your top card. You can put it on the bottom and lose 1 Durability.;This is what it sounds like when spheres scry.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/0a/Sphere_of_Sapience%28329906%29.png/revision/latest/scale-to-width-down/200?cb=20200911155740;
2793;Spider (Infested Wolf);Whispers of the Old Gods;Minion;Hunter;;1;1;1;[];Luca Zontini;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/4/4c/Spider%2835322%29.png/revision/latest/scale-to-width-down/200?cb=20200805182816;Beast
2794;Spider Ambush!;Kobolds and Catacombs;Spell;Rogue;;4;;;['Casts When Drawn', 'Draw cards', 'Summon'];Tyler West Studios;Casts When DrawnSummon a 4/4 Spider.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/5e/Spider_Ambush%21%2876915%29.png/revision/latest/scale-to-width-down/200?cb=20190906070725;
2795;Spider Bomb;The Boomsday Project;Minion;Hunter;Rare;3;2;2;['Deathrattle', 'Destroy', 'Magnetic'];Nicola Saviori;MagneticDeathrattle: Destroy a random enemy minion.;Wrecks a dude, any size. Catches thieves, eats those guys. Look out! Here comes a Spider Bomb!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/4/48/Spider_Bomb%2889807%29.png/revision/latest/scale-to-width-down/200?cb=20200805181104;Mech
2796;Spider Tank;Goblins vs Gnomes;Minion;Neutral;Common;3;3;4;[];Dany Orizio;"""What if we put guns on it?"" -Fizzblitz, staring at the spider-transportation-machine";See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/2f/Spider_Tank%2812184%29.png/revision/latest/scale-to-width-down/200?cb=20160324172528;Mech
2797;Spiked Hogrider;Mean Streets of Gadgetzan;Minion;Neutral;Rare;5;5;5;['Battlecry'];Mike Sass;Battlecry: If an enemy minion has Taunt, gain Charge.;Did you know the Hogchoppers compete every year at the Mirage Raceway? They do. It's a real group.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/e9/Spiked_Hogrider%2849687%29.png/revision/latest/scale-to-width-down/200?cb=20161202180208;
2798;Spiked Shield;Kobolds and Catacombs;Spell;Warrior;Common;6;;;['Equip', 'Gain Armor'];Zoltan Boros;Gain 5 Armor. Equip a 5/2 weapon.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/51/Spiked_Shield%2876940%29.png/revision/latest/scale-to-width-down/200?cb=20171210131633;
2799;Spiked Shield (weapon);Kobolds and Catacombs;Weapon;Warrior;;5;5;;[];Zoltan Boros;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/2e/Spiked_Shield%2876941%29.png/revision/latest/scale-to-width-down/200?cb=20200805165431;
2800;Spikeridged Steed;Journey to Un'Goro;Spell;Paladin;Rare;6;;;['Increment attribute', 'Summon'];Jim Nelson;Give a minion +2/+6 and Taunt. When it dies, summon a Stegodon.;What beats cavalry? Dinosaur cavalry.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/09/Spikeridged_Steed%2855516%29.png/revision/latest/scale-to-width-down/200?cb=20170407142043;
2801;Spirit Bomb;The Boomsday Project;Spell;Warlock;Common;1;;;['Deal damage'];Zoltan Boros;Deal 4 damage to a minion and your hero.;Might take a few episodes to power up.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/b0/Spirit_Bomb%2889904%29.png/revision/latest/scale-to-width-down/200?cb=20190906070745;
2802;Spirit Claws;One Night in Karazhan;Weapon;Shaman;Common;2;1;;['Increment attribute'];Ralph Horsley;Has +2 Attack while you have Spell Damage.;They'll be MUCH easier to use once they add the spirit thumb.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/f1/Spirit_Claws%2842042%29.png/revision/latest/scale-to-width-down/200?cb=20200805172440;
2803;Spirit Echo;Journey to Un'Goro;Spell;Shaman;Epic;3;;;['Return to hand'];Hideaki Takamura;"Give your minions ""Deathrattle: Return this to your hand.""";I guess you can say they’re… “soul survivors.”;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c0/Spirit_Echo%2855514%29.png/revision/latest/scale-to-width-down/200?cb=20170407161218;
2804;Spirit Jailer;Scholomance Academy;Minion;Demon Hunter;Common;1;1;3;['Battlecry', 'Shuffle into deck'];Ben Olson;Battlecry: Shuffle 2 Soul Fragments into your deck.;"""Sure, they're in your deck, but the mind is like, the REAL prison.""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/81/Spirit_Jailer%28329923%29.png/revision/latest/scale-to-width-down/200?cb=20200911155731;Demon
2805;Spirit Lash;Knights of the Frozen Throne;Spell;Priest;Common;2;;;['Deal damage', 'Lifesteal', 'Restore Health'];Zoltan Boros;LifestealDeal 1 damage to all minions.;We've got spirit, yes we do! We've got spirit, stolen from you!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/7/7d/Spirit_Lash%2858722%29.png/revision/latest/scale-to-width-down/200?cb=20170809032918;
2806;Spirit of Lucentbark;Rise of Shadows;Minion;Druid;;0;;;['Dormant', 'Permanent', 'Summon'];Steven Prescott;DormantWhen you restore 5 Health, awaken this minion.;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/54/Spirit_of_Lucentbark%2890992%29.png/revision/latest/scale-to-width-down/200?cb=20200406024543;
2807;Spirit of the Bat;Rastakhan's Rumble;Minion;Warlock;Rare;2;0;3;['Increment attribute', 'Stealth'];Slawomir Maniak;Stealth for 1 turn.After a friendly minion dies, give a minion in your hand +1/+1.;Nah nah nah nah, nah nah nah nah, nah nah nah nah, nah nah nah nah;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/01/Spirit_of_the_Bat%2890149%29.png/revision/latest/scale-to-width-down/200?cb=20181130130702;
2808;Spirit of the Dead;Rastakhan's Rumble;Minion;Priest;Rare;1;0;3;['Copy', 'Modify cost', 'Set attribute', 'Shuffle into deck', 'Stealth'];James Ryman;Stealth for 1 turn.After a friendly minion dies, shuffle a 1-Cost copy of it into your deck.;Just because you’re dead doesn’t mean you’re off the team.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/84/Spirit_of_the_Dead%2890168%29.png/revision/latest/scale-to-width-down/200?cb=20181130122912;
2809;Spirit of the Dragonhawk;Rastakhan's Rumble;Minion;Mage;Rare;2;0;3;['Stealth'];Jakub Kasber;Stealth for 1 turn.Your Hero Power also targets adjacent minions.;Dragonhawks aren’t known for their accuracy.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/1/13/Spirit_of_the_Dragonhawk%2890178%29.png/revision/latest/scale-to-width-down/200?cb=20181130113506;
2810;Spirit of the Frog;Rastakhan's Rumble;Minion;Shaman;Rare;3;0;3;['Put into hand', 'Stealth'];Konstantin Turovec;Stealth for 1 turn.Whenever you cast a spell, draw a spell from your deck that costs (1) more.;It is Wednesday, my dudes.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/29/Spirit_of_the_Frog%2890218%29.png/revision/latest/scale-to-width-down/200?cb=20181130125530;
2811;Spirit of the Lynx;Rastakhan's Rumble;Minion;Hunter;Rare;3;0;3;['Increment attribute', 'Stealth'];Arthur Bozonnet;Stealth for 1 turn.Whenever you summon a Beast, give it +1/+1.;Much of this shrine’s power lies in the can-opener noise it makes.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/ba/Spirit_of_the_Lynx%2890282%29.png/revision/latest/scale-to-width-down/200?cb=20200805181126;
2812;Spirit of the Raptor;Rastakhan's Rumble;Minion;Druid;Rare;1;0;3;['Draw cards', 'Stealth'];Christopher Hayes;Stealth for 1 turn.After your hero attacks and kills a minion, draw a card.;“Loti! LOTI! Drop it. Drop it Loti! Down! Down Loti!”;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/a0/Spirit_of_the_Raptor%2890212%29.png/revision/latest/scale-to-width-down/200?cb=20181130103026;
2813;Spirit of the Rhino;Rastakhan's Rumble;Minion;Warrior;Rare;1;0;3;['Immune', 'Stealth'];Jim Nelson;Stealth for 1 turn.Your Rush minions are Immune the turn they're summoned.;Where did they get this preposterous hypothesis?;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/a7/Spirit_of_the_Rhino%2890251%29.png/revision/latest/scale-to-width-down/200?cb=20181130134906;
2814;Spirit of the Shark;Rastakhan's Rumble;Minion;Rogue;Rare;4;0;3;['Stealth'];Ivan Fomin;Stealth for 1 turn.Your minions' Battlecries and Combos trigger twice.;It has Stealth, but its ominous theme music keeps giving it away.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/5d/Spirit_of_the_Shark%2890148%29.png/revision/latest/scale-to-width-down/200?cb=20181130124359;
2815;Spirit of the Tiger;Rastakhan's Rumble;Minion;Paladin;Rare;4;0;3;['Stealth', 'Summon'];Arthur Gimaldinov;Stealth for 1 turn.Whenever you cast a spell, summon a Tiger with stats equal to its Cost.;Less of a cantrip and more of a cat-nip.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/60/Spirit_of_the_Tiger%2890188%29.png/revision/latest/scale-to-width-down/200?cb=20181130115147;
2816;Spirit Wolf;Classic;Minion;Shaman;;2;2;3;['Taunt'];Peet Cooper;Taunt;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/bd/Spirit_Wolf%28451%29.png/revision/latest/scale-to-width-down/200?cb=20190907031735;
2817;Spirit Wolf (Dragon's Pack);Descent of Dragons;Minion;Shaman;;2;2;3;['Taunt'];MAR Studio;Taunt;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/d9/Spirit_Wolf%28151481%29.png/revision/latest/scale-to-width-down/200?cb=20191206171624;
2818;Spiritsinger Umbra;Journey to Un'Goro;Minion;Neutral;Legendary;4;3;4;['Trigger Deathrattle'];Matt Dixon;After you summon a minion, trigger its Deathrattle effect.;She sees the fate of anyone she meets, but it's always the same: dinosaur attack.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/3b/Spiritsinger_Umbra%2855522%29.png/revision/latest/scale-to-width-down/200?cb=20170406181355;
2819;Spiteful Smith;Classic;Minion;Neutral;Common;5;4;6;['Enrage', 'Increment attribute'];Justin Sweet;Your weapon has +2 Attack while this is damaged.;She'll craft you a sword, but you'll need to bring her 5 Steel Ingots, 3 Motes of Earth, and the scalp of her last customer.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/e1/Spiteful_Smith%28627%29.png/revision/latest/scale-to-width-down/200?cb=20200710232358;
2820;Spiteful Summoner;Kobolds and Catacombs;Minion;Neutral;Epic;6;4;4;['Battlecry', 'Summon'];Peter Stapleton;Battlecry: Reveal a spell from your deck. Summon a random minion with the same Cost.;Sometimes she'll summon a Doomsayer. Out of spite.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/20/Spiteful_Summoner%2876881%29.png/revision/latest/scale-to-width-down/200?cb=20200317183352;
2821;Spitting Camel;Saviors of Uldum;Minion;Neutral;Common;2;2;4;['Deal damage'];Ivan Fomin;At the end of your turn, deal 1 damage to another random friendly minion.;Were you expectorating another bad pun?;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/9c/Spitting_Camel%2890849%29.png/revision/latest/scale-to-width-down/200?cb=20200124232024;Beast
2822;Splintergraft;The Witchwood;Minion;Druid;Legendary;8;8;8;['Battlecry', 'Copy', 'Generate', 'Modify cost', 'Set attribute'];Craig Elliot;Battlecry: Choose a friendly minion. Add a 10/10 copy to your hand that costs (10).;We're going to need some bigger tweezers.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/88/Splintergraft%2889405%29.png/revision/latest/scale-to-width-down/200?cb=20180412125528;
2823;Splitting Axe;Saviors of Uldum;Weapon;Shaman;Epic;4;3;;['Battlecry', 'Copy', 'Summon'];Malcolm Davis;Battlecry: Summon copies of your Totems.;"The ancient shaman chant, ""Control Axe, Control Vee.""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/94/Splitting_Axe%2890744%29.png/revision/latest/scale-to-width-down/200?cb=20200805165933;
2824;Splitting Festeroot;The Witchwood;Minion;Neutral;Epic;8;4;4;['Deathrattle', 'Summon'];Jim Nelson;Deathrattle: Summon two 2/2 Splitting Saplings.;No use crying over split Festeroot.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/fa/Splitting_Festeroot%2889419%29.png/revision/latest/scale-to-width-down/200?cb=20180412044120;
2825;Splitting Image;Rastakhan's Rumble;Spell;Mage;Epic;3;;;['Copy', 'Secret', 'Summon'];L. Lullabi & K. Turovec;Secret: When one of your minions is attacked, summon a copy of it.;Sometimes you get punched so hard they see double.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/62/Splitting_Image%2890247%29.png/revision/latest/scale-to-width-down/200?cb=20181130113909;
2826;Splitting Sapling;The Witchwood;Minion;Neutral;;3;2;2;['Deathrattle'];Jim Nelson;Deathrattle: Summon two 1/1 Woodchips.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/58/Splitting_Sapling%2889420%29.png/revision/latest/scale-to-width-down/200?cb=20180412044336;
2827;Spreading Madness;Whispers of the Old Gods;Spell;Warlock;Rare;3;;;['Deal damage'];Mauricio Herrera;Deal 9 damage randomly split among ALL characters;Most citizens of Darkshire wear those surgical masks to prevent spreading Madness to tourists.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/66/Spreading_Madness%2833169%29.png/revision/latest/scale-to-width-down/200?cb=20160426225228;
2828;Spreading Plague;Knights of the Frozen Throne;Spell;Druid;Rare;6;;;['Recurring', 'Summon'];Alex Alexandrov;Summon a 1/5 Scarab with Taunt. If your opponent has more minions, cast this again.;In the past, plagues were spread by mice or fleas. These days they're spread by elves.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/fa/Spreading_Plague%2862841%29.png/revision/latest/scale-to-width-down/200?cb=20170918194925;
2829;Spring Rocket;The Boomsday Project;Minion;Neutral;Common;3;2;1;['Battlecry', 'Deal damage'];L. Lullabi & K. Turovec;Battlecry: Deal 2 damage.;"Proper grammar would be ""sprung rocket.""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/6e/Spring_Rocket%2889926%29.png/revision/latest/scale-to-width-down/200?cb=20180802201754;Mech
2830;Springpaw;Rastakhan's Rumble;Minion;Hunter;Common;1;1;1;['Battlecry', 'Generate', 'Rush'];Vladimir Kafanov;RushBattlecry: Add a 1/1 Lynx with Rush to your hand.;The terrible thing about lynxes is lynxes are terrible things. Their teeth are made out of biting, their paws are made out of springs!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/1/18/Springpaw%2890155%29.png/revision/latest/scale-to-width-down/200?cb=20200805182846;Beast
2831;Sprint;Basic;Spell;Rogue;;7;;;['Draw cards'];James Zhang;Draw 4 cards.;Rogues are not good joggers.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/d2/Sprint%2890%29.png/revision/latest/scale-to-width-down/200?cb=20151113001947;
2832;Spymistress;Ashes of Outland;Minion;Rogue;Common;1;3;1;['Stealth'];Dave Allsop;Stealth;Spies in Outland must blend into the environment. That means hot-pink gear and bright green hair. It’s a weird place.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/ca/Spymistress%28210825%29.png/revision/latest/scale-to-width-down/200?cb=20201007134925;
2833;Squallhunter;Descent of Dragons;Minion;Shaman;Common;4;5;7;['Overload', 'Spell Damage'];Arthur Gimaldinov;Spell Damage +2Overload: (2);"""Oh, the weather outside is frightful… But Squallhunter's so delightful! And since we've gone down this road--overload, overload, overload!""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/56/Squallhunter%28151383%29.png/revision/latest/scale-to-width-down/200?cb=20191206170123;Dragon
2834;Squashling;The Witchwood;Minion;Priest;Common;2;2;1;['Battlecry', 'Echo', 'Restore Health'];Tyler Walpole;EchoBattlecry: Restore 2 Health.;Everyone hail to the squashling song!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/d6/Squashling%2889435%29.png/revision/latest/scale-to-width-down/200?cb=20180412132725;
2835;Squire;Classic;Minion;Neutral;;1;2;2;[];Massive Black;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/28/Squire%2821%29.png/revision/latest/scale-to-width-down/200?cb=20190907031801;
2836;Squirming Tentacle;Whispers of the Old Gods;Minion;Neutral;Common;3;2;4;['Taunt'];L. Lullabi & Nutchapol;Taunt;Yeah, I think we can agree that killing the squirming tentacle first is a good idea.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/8b/Squirming_Tentacle%2835243%29.png/revision/latest/scale-to-width-down/200?cb=20160501042749;
2837;Squirrel;Classic;Minion;Neutral;;1;1;1;[];Wayne Reynolds;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/4/4d/Squirrel%28469%29.png/revision/latest/scale-to-width-down/200?cb=20190907031827;Beast
2838;Squirrel (Acornbearer);Rise of Shadows;Minion;Druid;;1;1;1;[];Steven Prescott;[data page];;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/4/4d/Squirrel%2890991%29.png/revision/latest/scale-to-width-down/200?cb=20191103165934;Beast
2839;Stablemaster;The Grand Tournament;Minion;Hunter;Epic;3;4;2;['Battlecry', 'Immune'];Tyson Murphy;Battlecry: Give a friendly Beast Immune this turn.;Takes way better care of her pets than her brother, Unstablemaster.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/97/Stablemaster%2822365%29.png/revision/latest/scale-to-width-down/200?cb=20200805181145;
2840;Staff of Ammunae (Twinspell);Saviors of Uldum;Spell;Neutral;;4;;;['Immune', 'Increment attribute', 'Windfury'];Zoltan & Gabor;Your minions have Windfury and Immune this turn.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/f0/Staff_of_Ammunae%2892346%29.png/revision/latest/scale-to-width-down/200?cb=20190917064310;
2841;Stage Dive;Madness at the Darkmoon Faire;Spell;Warrior;Rare;1;;;['Corrupt', 'Put into hand'];J. Cheung & K. Turovec;Draw a Rush minion.Corrupt: Give it +2/+1.;The most metal trust fall.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/3a/Stage_Dive%28389034%29.png/revision/latest/scale-to-width-down/200?cb=20201113113055;
2842;Stage Dive (Corrupted);Madness at the Darkmoon Faire;Spell;Warrior;Rare;1;;;['Corrupted', 'Increment attribute', 'Put into hand'];J. Cheung & K. Turovec;CorruptedDraw a Rush minion and give it +2/+1.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/ef/Stage_Dive%28389145%29.png/revision/latest/scale-to-width-down/200?cb=20201117224712;
2843;Stage Hand;Madness at the Darkmoon Faire;Minion;Warrior;Common;2;3;2;['Battlecry', 'Increment attribute'];Ivan Fomin;Battlecry: Give a random minion in your hand +1/+1.;Holds everything himself because people wouldn't stop touching the prop table.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/62/Stage_Hand%28389037%29.png/revision/latest/scale-to-width-down/200?cb=20201113113012;Mech
2844;Stalagg;Naxxramas;Minion;Neutral;Legendary;5;7;4;['Deathrattle', 'Summon'];Dany Orizio;Deathrattle: If Feugen also died this game, summon Thaddius.;"Stalagg want to write own flavor text.  ""STALAGG AWESOME!""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c3/Stalagg%287744%29.png/revision/latest/scale-to-width-down/200?cb=20160324162953;
2845;Stampede;Journey to Un'Goro;Spell;Hunter;Epic;1;;;['Generate'];Daren Bader;Each time you play a Beast this turn,add a random Beast to your hand.;Many hunters long for the pitter-patter of enormous feet.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/4/43/Stampede%2855536%29.png/revision/latest/scale-to-width-down/200?cb=20200805214041;
2846;Stampeding Kodo;Classic;Minion;Neutral;Rare;5;3;5;['Battlecry', 'Destroy'];Daren Bader;Battlecry: Destroy a random enemy minion with 2 or less Attack.;This Kodo is so big that he can stampede by himself.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/8c/Stampeding_Kodo%28389%29.png/revision/latest/scale-to-width-down/200?cb=20200420132101;Beast
2847;Stampeding Roar;Rastakhan's Rumble;Spell;Druid;Epic;6;;;['Put into battlefield'];Andrew Hou;Summon a random Beast from your hand and give it Rush.;The Gurubashi Arena has an extremely permissive policy on pets in the workplace.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/b0/Stampeding_Roar%2890221%29.png/revision/latest/scale-to-width-down/200?cb=20181130105656;
2848;Stand Against Darkness;Whispers of the Old Gods;Spell;Paladin;Common;5;;;['Summon'];Ralph Horsley;Summon five 1/1 Silver Hand Recruits.;Or if you're too tired, you can just kind of lean against the darkness.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/8f/Stand_Against_Darkness%2831116%29.png/revision/latest/scale-to-width-down/200?cb=20160426224356;
2849;Star Aligner;The Boomsday Project;Minion;Neutral;Epic;7;7;7;['Battlecry', 'Deal damage'];David Kegg;Battlecry: If you control 3 minions with 7 Health, deal 7 damage to all enemies.;"""You're a Sagittarius? Me too! Just gimme a sec.""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/3b/Star_Aligner%2889842%29.png/revision/latest/scale-to-width-down/200?cb=20181025082908;
2850;Star Student Stelina;Scholomance Academy;Minion;Demon Hunter;Legendary;4;4;3;['Outcast', 'Shuffle into deck'];Anton Zemskov;Outcast: Look at 3 cards in your opponent's hand. Shuffle one of them into their deck.;Cheating is just using your resources wisely.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/7/7d/Star_Student_Stelina%28329901%29.png/revision/latest/scale-to-width-down/200?cb=20200911160717;
2851;Starfall;Classic;Spell;Druid;Rare;5;;;['Choose One', 'Deal damage'];Richard Wright;"Choose One - Deal 5 damage to a minion; or 2 damage to all enemy minions.";Is the sky falling?  Yes.  Yes it is.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/cd/Starfall%28464%29.png/revision/latest/scale-to-width-down/200?cb=20160323224822;
2852;Starfire;Basic;Spell;Druid;;6;;;['Deal damage', 'Draw cards'];Alex Horley Orlandelli;Deal 5 damage.  Draw a card.;Balance is important to druids.  This card is perfectly balanced.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/98/Starfire%28667%29.png/revision/latest/scale-to-width-down/200?cb=20161202173550;
